title,salary,experience,common_employment,works_schedule,working_hours,work_formats,description,date,url,response_link
Python Developer (Middle+/Senior),"от 200 000 до 350 000 ₽ за месяц, на руки",более 6 лет,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 8,Формат работы: удалённо,"Наша команда создает инновационную платформу в сфере информационной безопасности и ищем профессионала, который возглавит процесс ETL на платформе PrefectHQ. Мы собираем различные открытые данные, нормализуем их, храним в ScyllaDB и предоставляем доступ через API. Наш продукт уже приносит реальную пользу и появились первые клиенты.
Если ты – инициативный Python разработчик с опытом создания коммерческих проектов и готов принять новый вызов, мы ищем именно тебя. Присоединись к нашей команде и стань лидером в разработке веб-приложения для работы с большими объемами данных.
Что мы ожидаем от тебя:
Опыт разработки на Python и Django от 5 лет.
Уверенные навыки работы с базами данных и брокерами сообщений (PostgreSQL, Celery, RabbitMQ, Redis).
Комфортная работа в Linux, умение использовать Docker и Git
Опыт работы с API и знание принципов REST.
Понимание TCP/IP и основных сетевых протоколов.
Ты знаком с процессами CI/CD.
Будет здорово, если:
Ты знаешь Go и готов применять его на практике.
Ты знаком с алгоритмами обработки данных и увлечен их оптимизацией.
Есть платина в Elden Ring.
Ты разбираешься в регулярных выражениях.
У тебя есть опыт работы с Scylla.
Чем предстоит заниматься:
Работать с процессами больших данных и улучшать их.
Исправлять баги и внедрять новые фичи.
Разбираться с текущей архитектурой и улучшать логику работы.
Покрывать код тестами и оптимизировать существующие алгоритмы.
Что мы предлагаем:
Полностью удаленную работу и гибкие условия труда без бюрократии.
Сотрудничество через ИП, самозанятости или ГПХ.
Гибкий график и свобода выбора инструментов.
Если ты готов принять вызов и внести свой вклад в важный проект, ждем твоё резюме!",2025-03-24,https://adsrv.hh.ru/click?b=1602274&place=35&meta=ML8tDY7_FzdLtUtQ84bI0cJVHhh7ZKh98oNvVMpHoGrYpbpO1lPU2jrhXJ69vIgALcdnSoMpNAnHTcF0wP0G45fC1zAkUlr-R_77AR9H7vT9tlMSTtb5RELNRyWN0AagQaY41Id1oRnxrBIspnXMROm2xe3w1QhBuOE8L7sdkeGj0kADM2QgOpuN9KMyOyQqfsKnLRnjcVej0PRvwc2tCC9NB86-HzEum7xs0o8BO8aEXml9vtOq7pzj9BaS8ZUHyxp6_PgbTgIaOp_Jw8SEvTiMDF1lPCIIAn8BIkYVed1cP7snFQkoshR95zWFTgqgWaRNO1AFA2R8Uqfqhb1TAuG_5tFqyqNamZFlzAx7gQEUsCQlg9-ZoUgfCNQcLQYVupLXS4xPOKDJwFlL-8PbEe805kB_lsVOpyP2zy3SSWoHaqd-kRATtpjoCAIxw9iyneEJNfrMgdXaOFuyiDpxfL3yMlmc6ruFQ2bWqtr_hoP5LZRoIGEDNXeLM3ZZojkf5RTa8AKJUHuoPB1eJoJcjDiSE6biCMNpZP-Fp0ovmpJlZROLLXZlk5cGcPfuJ-Cw&clickType=link_to_vacancy,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=118700393&employerId=4222790&hhtmFrom=vacancy
Аналитик-разработчик,не указано,1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или гибрид,"Привет, будущий коллега!

Если ты ищешь работу, где сможешь проявлять свои аналитические способности, то мы ищем именно тебя!

Мы ищем талантливого аналитика-разработчика, который будет работать с рефакторингом и созданием витрин на SQL. Если ты готов работать с большими объемами данных, постоянно учиться новому и хочешь присоединиться к нашей команде, отправляй свое резюме. Ждем тебя!
Чем предстоит заниматься:
Рефакторингом и созданием витрин, процедур, джоб на SQL (oracle, greenplum).
Работать с оркестратором (airflow).
Принимать непосредственное участие в создании отчетности.
Переносить отчетности с legacy-источников на DWH.
Для успешной работы потребуется:
SQL (диалекты oracle/postgres будут преимуществом) - умение работать с DML и DDL. Понимание принципов оптимизации кода и базы, умение работать с индексами.
Базовый python и git (для работы с airflow).
Аналитический склад ума, структурированность изложения мыслей.
Будет плюсом, если у тебя есть:
Опыт работы с BI системами, Power Pivot, Excel.
Высшее техническое/математическое образование.
Мы предлагаем:
Работа в аккредитованной ИТ-компании.
Атмосфера стабильности и безопасности, так как мы работаем в полном соответствии с ТК РФ.
Белая заработная плата, уровень готовы обсуждать в зависимости от навыков, опыта и пожеланий кандидата.
Гибкое начало рабочего дня.
Своя корпоративная библиотека, в которой более 300 книг.
Возможность внешнего обучения за счет компании, в том числе занятия английским языком в Skyeng.
Расширенный пакет ДМС со стоматологией и вызовом врача на дом.
Активная корпора­тивная жизнь и насыщенный календарь событий: мы участвуем в спортивных забегах и марафонах, у нас есть футбольная команда и команда по настольному теннису, а так же квизы, митапы и многое другое! А йога у нас проходит прямо в офисе.
Только самовыражение и свободный стиль. Никакого дресс-кода!
Удобный, красивый и технологичный офис в центре города с зонами для работы и отдыха и йога-классом.
Уютная кухня в офисе с кофемашинами, микроволновками, посудой и всей необходимой техникой. А также фрукты, кофе/чай, сиропы, альтернативное молоко.",2025-04-08,https://novosibirsk.hh.ru/vacancy/119272804?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=119272804&employerId=3882733&hhtmFrom=vacancy
Python-разработчик,"от 40 000 до 80 000 ₽ за месяц, на руки",не требуется,Частичная занятость,График: 5/2,"Рабочие часы: 4, 5, 6, 7 или 8",Формат работы: удалённо,"Привет!

Мы - компания IT-Solutions. Мы занимаемся разработкой ПО для бизнеса и его автоматизации: веб-сайты, мобильные приложения, CRM и ERP-системы, боты, парсеры и многое другое.
На данный момент компания активно развивается, в связи с чем увеличивается и количество выполняемых проектов. В связи с этим, мы ищем в том числе студентов на практику для обучения и, в перспективе, трудоустройства высококлассных сотрудников!
Мы находимся в поиске практикантов на должность backend разработчик на языке Python.
Требования к кандидату.
Soft-скиллы:
Очень сильно развито чувство ответственности. Задач может быть очень много, но при этом каждую из них необходимо выполнить в срок и, при этом, качественно.
Целеустремленность. Мы готовы предлагать огромные перспективы роста, но только если и ты готов вкладываться в работу на полную.
Умение искать информацию и самостоятельно решать возникающие вопросы. Мы готовы помогать тебе во всем и быть наставниками, но нам очень важно, чтобы ты мог решать простые вопросы самостоятельно.
Коммуникабельность и умение задавать вопросы. Если тебе что-то непонятно, мы с радостью постараемся тебе помочь!
Инициативность в поиске решения задач.
Желание учиться и становиться лучше!
Hard-скиллы:
Опыт разработки на языке Python с фреймворком Django.
Понимание принципов ООП и SOLID.
Опыт работы с реляционными БД: PostgreSQL, MySQL, sqlite.
Умение работать с использованием Git и/или GitLab.
Опыт работы с инструментами планирования: Jira, ClickUp.
Базовые навыки работы с Linux.
Базовое понимание принципов верстки: HTML, CSS, JavaScript.
Будет дополнительным плюсом:
Опыт работы с REST Api.
Опыт работы с Docker.
Опыт работы в backend-разработке на коммерческих проектах.
Опыт работы с ORM.
Понимание принципов контейнеризации.
Понимание принципов работы API.
Обязанности:
Написание backend части веб-сервисов на языке Python для коммерческих проектов.
Развертывание веб-приложений на сервере.
Выполнять поставленные задачи быстро и вовремя.
Мы предлагаем:
Возможности крутого карьерного роста.
Опыт, знания и навыки разработки web-приложений.
Обучение и наставничество.
Значительный рост навыков в планировании и тайм-менеджменте.
Гибкий график, согласовывается индивидуально с кандидатом.
Молодой коллектив, горящий своими идеями.
Условия работы:
Гибкий график работы.
Возможность совмещения работы и в т.ч. учебы.
Удаленная работа за компьютером или ноутбуком.
Стабильная и своевременная оплата без задержек.
Откликайся на вакансию и мы свяжемся с тобой для обсуждения всех деталей!",2025-04-14,https://novosibirsk.hh.ru/vacancy/118870179?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=118870179&employerId=11012210&hhtmFrom=vacancy
Python-разработчик,"от 60 000 ₽ за месяц, на руки",1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,"Мы — динамично развивающаяся компания в сфере интернет маркетинга, работаем с проектами по всему миру и стремимся к максимальной эффективности и качеству.
Мы ищем разработчика со знанием Python, который возьмёт на себя создание и поддержку автоматизации процессов в бизнесе. Основной фокус: работа с Apache Airflow, PostgreSQL. Редко потребуется развёртывание новых сервисов в Docker, написание телеграм-ботов, а так же adhoc запросы на данные и их представление в наглядном виде.
Соискателю нужно будет выполнить получасовое тестовое задание. Пожалуйста, откликайтесь только если готовы выполнить задание.
Требования:
Уверенное владение Python и библиотеками pandas, pycopg2, urllib и requests.
Опыт написания ETL-процессов и работы с PostgreSQL.
Опыт работы с Apache Airflow или другими инструментами оркестрации (создание DAG, работа с собственными модулями оркестратора, xcom, соединения и хуки, сенсоры и триггеры).
Понимание принципов работы на удалённых серверах (Linux), минимальные навыки администрирования - пошерить директорию, добавить переменную, использовать find, поставить cron job, и т.п.
Понимание базовых принципов работы Docker и организации его сетей, чтобы вы могли подключаться к контейнированным сервисам, понимали концепцию томов и изолированного окружения.
Будет вашим преимуществом:
Навыки создания и деплоя веб-приолжений.
Опыт развёртывания и настройки Docker на Linux-серверах.
Умение создавать телеграм-ботов и поддерживать их бесперебойную работу.
Опыт или желание научиться внедрять и использовать CI/CD (мы пока не используем, но будем рады вашей инициативе и полностью поддержим).
Условия:
5/2 фултайм в офисе в тихом центре.
Современное оборудование по вашим потребностям.
Доступ к актуальным проприетарным нейронкам включая интеграцию с IDE.
Рост заработной платы по мере роста ваших навыков.
Интересные и разнообразные задачи.",2025-04-14,https://novosibirsk.hh.ru/vacancy/119489474?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=119489474&employerId=5514659&hhtmFrom=vacancy
Python-разработчик (удаленно),не указано,не требуется,"Полная занятость
Возможно временное оформление",График: 5/2,Рабочие часы: 8,Формат работы: удалённо,"BotHub - международная продуктовая компания, которая работает в сфере AI, и занимается разработкой пользовательских приложений на основе LLM OpenAI, Claude, Gemini, Llama и других. Наша компания была основана весной 2023 г, тогда в ней работало 3 человека, сейчас в команде работает 15+ человек и мы продолжаем расти.
Наша команда работает полностью удалённо, по московскому часовому поясу, общение на русском языке, коммуникация проводится через Telegram, Discord, Google Meet. Для трекинга задач и времени мы используем Redmine. График работы – гибкий. У нас открытый и дружелюбный коллектив, и нет бюрократии.
Мы не требуем наличие формального высшего образования, но будет плюсом если человек изучает книги по программированию, смотрит онлайн видео по программированию, проходит курсы или учится в профильном учебном заведении.
Стек технологий:
Языки программирования: Python
Фреймворки и библиотеки: FastAPI, Uvicorn/Hypercorn, aiogram
Базы данных: PostgreSQL, Redis
Контейнеризация: Docker
CI/CD: GitLab CI/CD
Архитектура: Hexagonal architecture, microservices architecture
Обязанности:
Разработка и поддержка серверной части веб-приложений на Python
Использование асинхронного подхода в разработке (async/await)
Проектирование и реализация API для взаимодействия с фронтендом, мобильными приложениями и телеграм ботами.
Оптимизация производительности существующих приложений и обеспечение их масштабируемости.
Работа с базами данных (реляционные и NoSQL): проектирование схем данных, написание эффективных запросов.
Обеспечение безопасности приложений, внедрение механизмов защиты данных и аутентификации.
Написание тестов (unit, integration) для обеспечения качества и стабильности кода.
Участие в код-ревью, следование лучшим практикам разработки и стандартам кодирования.
Работа в команде
Составление документации функциональности и технических решений для текущего и будущего использования.
Мониторинг и поддержка приложений в продакшене, оперативное решение возникающих проблем.
Требования:
Опыт работы с Python
Опыт разработка асинхронных веб приложений
Опыт работы с системами контроля версий, преимущественно Git, понимание Git-flow
Базовые знания настройки серверов, понимание принципов работы CI/CD, опыт работы с инструментами Docker, GitLab CI/CD и др.
Знание основных архитектурных паттернов, опыт работы с микросервисной архитектурой, понимание масштабируемости и отказоустойчивости приложений.
Желательно знание других языков программирования (Серверный Typescript или какой-то другой).
Условия:
Выходные и праздничные дни: В соответствии с календарем вашего региона.
Гибкий график: Возможность самостоятельно планировать рабочие часы.
Работа по московскому времени и коммуникация на русском языке.
Полностью удаленная работа: Возможность работать из любой точки мира.
Оплачиваемый отпуск и больничный
Работа в компании с возможностями для динамичного профессионального роста и развития навыков.",2025-04-08,https://novosibirsk.hh.ru/vacancy/119274666?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=119274666&employerId=10749377&hhtmFrom=vacancy
Python-разработчик,не указано,1–3 года,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя или удалённо,"Мы ищем талантливого Python-разработчика, который поможет нам развивать и поддерживать наши проекты не только в сфере розничной торговли, но и в смежных проектах. Если вы увлечены программированием и хотите работать в динамичной компании, то это предложение для вас!
Чем предстоит заниматься:
Разработка и поддержка backend-части проектов на Python (FastAPI/Django/Flask);
Создание и оптимизация Telegram-ботов;
Доработка фронтенд-интерфейсов (HTML/CSS/JS, React/Vue);
Настройка и поддержка Docker-контейнеров;
Работа с базами данных (PostgreSQL, Redis);
Интеграция с внешними API;
Написание тестов (pytest);
Участие в CI/CD-процессах.
Наши ожидания:
Опыт работы от 2 лет, знание Python и сопутствующих технологий;
Знание и опыт работы с FastAPI, Django или Flask;
Умение работать с базами данных PostgreSQL и Redis;
Опыт в разработке фронтенд-интерфейсов с использованием HTML/CSS/JS, React или Vue;
Навыки работы с Docker и CI/CD;
Опыт интеграции с внешними API;
Умение писать тесты с использованием pytest.
Умение эффективного взаимодействия в команде;
Способность работать на результат и соблюдать дедлайны.
Условия и преимущества:
Официальное трудоустройство по ТК РФ;
График работы: пятидневная рабочая неделя с 09:00 до 18:00;
Фиксированные оклад по результатам собеседования;
Амбициозные цели и задачи;
Профессиональное развитие;
Работа в крупной федеральной компании с более чем 300 салонами связи;
Лояльное, адекватное руководство, которое слышит и учитывает мнения своих сотрудников, гибкий подход к каждому сотруднику.
О компании: Мы - крупная федеральная розничная компания, являющаяся официальным дилером операторов сотовой связи (T2, МТС, Мегафон, Билайн, YOTA). На рынке с 2002 года, активно развиваем собственный бренд. Наша компания предоставляет услуги подключения к сотовым операторам, абонентское обслуживание, продажу сотовых телефонов и аксессуаров.
Сотрудничество с нами открывает перспективы для карьерного и личностного роста благодаря интенсивному расширению географии и развитию собственного бренда.",2025-04-11,https://novosibirsk.hh.ru/vacancy/119406812?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=119406812&employerId=990297&hhtmFrom=vacancy
Data Scientist CV,"от 80 000 до 90 000 ₽ за месяц, на руки",1–3 года,Частичная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,"Мы, Dataacquisition , команда экспертов в области Big Data и машинного обучения, ищем технически подкованного специалиста по компьютерному зрению (CV) на проект.
Обязанности:
· Реализация проекта из сферы CV
· Работа с подготовкой и аннотацией данных (датасетов)
· Подбор, доработка и обучение моделей, подходящих для решения той или иной задачи
· Проверка полноты, точности, уверенности и других характеристик моделей, необходимых для реализации той или иной задачи
· Работа в связке с проджект менеджером и другими разработчиками
Требования:
· Linux и администрирование распределенных систем
· Пунктуальность, систематичность, ответственное отношение к дедлайнам
. Уверенное владения Python для ML (преимущественно nlp и cv)
. Опыт реализации и применения моделей машинного обучения
. Знание основных алгоритмов и структур данных
. опыт работы с ML-библиотеками и библиотеками для работы с данными: pandas, numpy, sklearn, catboost, xgboost, lightgbm, pytorch, tf и др.)
. Приветствуется опыт работы с различными источниками данных: SQL, Hive, Presto, Kafka, etc.
Условия:
· Удаленная занятость
· з/п от 80000 до 90000 руб в месяц, возможна частичная занятость
· Работа в перспективной и динамично развивающейся сфере Big Data, возможность получить опыт участия в проектах с крупнейшими заказчиками из самых разных сфер (маркетинг, производство, финансы, агросектор и других)
· Возможности финансового и карьерного роста",2025-04-13,https://novosibirsk.hh.ru/vacancy/118592034?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=118592034&employerId=6028086&hhtmFrom=vacancy
Python-программист Middle,не указано,3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,не указано,"Привет, коллега! Мы компания Авантелеком — российская аккредитованная IT- и телеком компания.
Более 10 лет мы разрабатываем и внедряем эффективные решения для управления корпоративными коммуникациями с использованием искусственного интеллекта.

Мы приглашаем в свою команду опытных специалистов на должность Python программист.
Чем предстоит заниматься:
Работа в крутой команде коллег;
Разработка нового ПО для IP-телефонии (Python, Django, PostgreSQL);
Техническое сопровождение проектов голосовых роботов (Python, Django, MySQL / PostgreSQL);
Разработка голосовых моделей с использованием речевых технологий;
Участие в разработке нового и правка текущего функционала в ПО для обработки телефонных вызовов (продукт компании собственной разработки для IP-телефонии): БД MySQL, backend на NodeJs, frontend на React.
Эта работа для тебя, если ты:
Имеешь опыт коммерческой разработки от 3-х лет;
Уверенно занимаешься программированием на Python или других скриптовых языках с желанием мигрировать на Python;
Имеешь навык написания чистых SQL-запросов (без использования ORM);
Жаждешь решать сложные задачи;
Умеешь эффективного взаимодействовать в команде;
Работаешь на результат и соблюдаешь дедлайны.
Наш общий стек для backend-разработки:
Python
FastAPI
MySQL/PostgreSQL
Django/ExpressJs
Linux/GNU
Что мы предлагаем:
Официальное трудоустройство;
Мы работаем в офисах компании в Москве, Новосибирске и Хабаровске, а также удаленно из разных городов России.
Понятная система мотивации:
График работы: 5/2, с гибким началом рабочего дня;
Обучение и наставничество;
Адаптация и плавный вход в должность;
О наших плюшках:
Компенсация расходов на занятия спортом;
Компенсация обучения и повышения квалификации;
Все преимущество IT-аккредитованной компании;
Драйвовые корпоративные мероприятия, подарки на День рождения и праздники от компании;
Премирования в знаменательные даты;
Адекватное лояльное руководство, которое заботится о своих сотрудниках;
Комфортный офис в центре города по адресу: Димитрова 1;
Отзывчивый коллектив, где всегда готовы поддержать и помочь
P.S.: Хоть мы и постарались вместить в описание больше деталей, но нам все еще есть что рассказать. Будем рады познакомиться ;)",2025-04-12,https://novosibirsk.hh.ru/vacancy/102422415?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=102422415&employerId=2563282&hhtmFrom=vacancy
Middle Python разработчик,не указано,3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: на месте работодателя,"CityAir — аккредитованная IT-компания.
Мы разрабатываем и производим собственные станции для анализа примесей в воздухе и создаем цифровые платформы для мониторинга качества атмосферного воздуха
Наша цель — оцифровать качество воздуха планеты.
Продукт CityAir — Система (программно-аппаратный комплекс) для оперативного контроля загрязнения атмосферного воздуха. Наши сети развернуты в нескольких крупных городах России. Мы продолжаем развиваться в России и выходим на международный рынок.

Внешний контекст IT-команды CityAir:
Совместная работа с инженерной лабораторией — у нас есть собственное оборудование для измерения концентрации пыли и газов в воздухе. Результаты этих измерений собираются и анализируются на платформе, с которой работают клиенты — экологи и сити-менеджеры;
Кроме веб-платформ, у нас есть мобильные сервисы, как для широкого круга, так и закрытые, для авторизованных пользователей;

В настоящий момент мы ищем Python разработчика, который усилит команду проекта CityAir Basic.
Обязанности:
Поддержка текущего стека приема данных от измерительных устройств собственной разработки и других производителей, а также внешних источников в виде API;
Поддержка сервисов обработки данных и доступа к этим данным посредством API.
Требования:
Python на среднем/продвинутом уровне (знание ООП), опыт работы с Django и/или FastAPI, опыт работы с DRF (Django REST framework).
Опыт работы работы с API.
Опыт написания юнит-тестов (pytest, unittest) и интеграционного тестирования.
Опыт работы с базами данных в качестве разработчика от 2 лет.
Знание SQL (DDL/DML), умение оптимизировать код.
Опыт составления документации по разработке ПО в confluence.
Проводить оркестрацию ETL/ELT процессов в Airflow.
Понимание хранилищ данных, очистки данных, конвейеров данных и других аналитических методов, необходимых для использования данных.
Работать с системами контроля версий Git (желательно и с Gitlab ci).
Знание инструментов мониторинга (Sentry, Grafana).
Опциональные требования (важно попадание от 3 пунктов и выше):
Опыт проектирования объектов БД на основании бизнес требований.
Опыт работы с ClickHouse/Redis, брокерами сообщений (Kafka).
Опыт работы с timeseries-данными.
Опыт проектирования баз данных.
Знаком с облачными сервисами AWS: S3.
Мы предлагаем:
Трудоустройство по ТК РФ
График работы 5/2",2025-04-14,https://novosibirsk.hh.ru/vacancy/118473446?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=118473446&employerId=5468523&hhtmFrom=vacancy
Python-разработчик (Senior/Lead),не указано,3–6 лет,Полная занятость,График: 5/2,Рабочие часы: 8,Формат работы: удалённо,"Контур — экосистема для бизнеса. Наши сервисы помогают каждой третьей компании России делать рабочие процессы проще и эффективнее: вести бухгалтерию, обмениваться документами без бумаги, общаться друг с другом на удаленке и многое другое. С нами жизнь 2,5 млн предпринимателей и их сотрудников становится легче.
Python-разработка в Контуре
В Контуре активно развивается направление Python-разработки. Мы вкладываемся в развитие этого стека, чтобы создавать новые open source сервисы.
Python-разработчики в Контуре могут реализовать свой потенциал и вырасти до позиции лида. Мы предоставляем для этого все необходимые условия: поддержку команды, ресурсы для обучения и развития.
Мы ценим чистоту и качество кода. В Контуре вы встретите зрелую культуру код-стайла, написания тестов, код- и дизайн-ревью. При этом мы сохраняем гибкость и даем свободу в принятии архитектурных решений.
Чем предстоит заниматься
Проектировать гибкие и расширяемые системы.
Обучать и развивать инженерные навыки участников команды.
Запускать новые продукты или лидить уже существующие проекты.
Вы сможете выбрать направление развития по душе: запускать новые проекты в специальном бюро разработки или заниматься выстраиванием процессов и архитектуры в конкретном сервисе. Более подробно о задачах расскажет HR-менеджер.
Для нас важны
Опыт промышленной разработки на Python от 4-х лет.
Понимание принципов микросервисной архитектуры и паттернов проектирования.
Опыт в качестве тимлида или техлида команды разработки.
Опыт проектирования на уровне продукта/сервиса, запуска проектов с нуля.
Опыт ответственности за архитектуру и технические решения.
Опыт работы со стеком: Python, Django, FastAPI, Aiohttp, PostgreSQL, MongoDB, Redis, Kubernetes.
Мы предлагаем
Гибкость в карьерном развитии: если поймете, что хотите изменить задачи и роль, поможем с переходом в другое направление. Внутренние сообщества не оставят вас без поддержки. Вы всегда найдете, с кем посоветоваться.
Задачи с высоким уровнем ответственности: предстоит проектировать архитектуру, реализовывать бизнес-логику, самостоятельно принимать решения, запускать сервисы с необходимым уровнем качества.
Свободу в развитии: мы вкладываемся в сообщество и поддерживаем участие разработчиков в конференциях, митапах и обучающих проектах. Наши деврелы помогут написать статью на Хабр, снять видео или подготовиться к выступлению на PyCon.",2025-03-31,https://novosibirsk.hh.ru/vacancy/118973907?query=Python+%D1%80%D0%B0%D0%B7%D1%80%D0%B0%D0%B1%D0%BE%D1%82%D1%87%D0%B8%D0%BA&hhtmFrom=vacancy_search_list,https://novosibirsk.hh.ru/applicant/vacancy_response?vacancyId=118973907&employerId=41862&hhtmFrom=vacancy
